"cell_line","gene","expression","subtype"
"BT20","BNIPL",5.088325256,"TNBC"
"BT20","CACNG4",0,"TNBC"
"BT20","CPE",2.248629039,"TNBC"
"BT20","CYP2T2P",5.570725449,"TNBC"
"BT20","FAM176A",7.369389627,"TNBC"
"BT20","GRHL2",10.87433218,"TNBC"
"BT20","HS3ST1",4.687354572,"TNBC"
"BT20","PLB1",4.6447092,"TNBC"
"BT20","SULT2B1",9.799359345,"TNBC"
"BT20","UnknownGene",0.807735792,"TNBC"
"BT474","BNIPL",4.267945781,"ER."
"BT474","CACNG4",10.02619401,"ER."
"BT474","CPE",8.419435285,"ER."
"BT474","CYP2T2P",5.25401921,"ER."
"BT474","FAM176A",3.89302883,"ER."
"BT474","GRHL2",11.08945069,"ER."
"BT474","HS3ST1",2.987008508,"ER."
"BT474","PLB1",1.176123505,"ER."
"BT474","SULT2B1",8.805935193,"ER."
"BT474","UnknownGene",0,"ER."
"BT549","BNIPL",1.93785134,"TNBC"
"BT549","CACNG4",8.957663326,"TNBC"
"BT549","CPE",7.097027226,"TNBC"
"BT549","CYP2T2P",2.881768097,"TNBC"
"BT549","FAM176A",8.018814009,"TNBC"
"BT549","GRHL2",2.574066525,"TNBC"
"BT549","HS3ST1",5.441954525,"TNBC"
"BT549","PLB1",2.736105228,"TNBC"
"BT549","SULT2B1",1.272425194,"TNBC"
"BT549","UnknownGene",0.772169877,"TNBC"
"CAL120","BNIPL",1.749625009,"TNBC"
"CAL120","CACNG4",7.024159658,"TNBC"
"CAL120","CPE",5.495181814,"TNBC"
"CAL120","CYP2T2P",3.015806987,"TNBC"
"CAL120","FAM176A",9.419141071,"TNBC"
"CAL120","GRHL2",5.469768051,"TNBC"
"CAL120","HS3ST1",7.173305669,"TNBC"
"CAL120","PLB1",3.846864196,"TNBC"
"CAL120","SULT2B1",2.517382284,"TNBC"
"CAL120","UnknownGene",1.364651427,"TNBC"
"CAL148","BNIPL",3.749010025,"TNBC"
"CAL148","CACNG4",7.491998725,"TNBC"
"CAL148","CPE",8.325277047,"TNBC"
"CAL148","CYP2T2P",3.265414058,"TNBC"
"CAL148","FAM176A",6.732063014,"TNBC"
"CAL148","GRHL2",10.95321066,"TNBC"
"CAL148","HS3ST1",6.705842102,"TNBC"
"CAL148","PLB1",3.848240329,"TNBC"
"CAL148","SULT2B1",1.543314157,"TNBC"
"CAL148","UnknownGene",0.968877001,"TNBC"
"CAL51","BNIPL",2.580510401,"TNBC"
"CAL51","CACNG4",1.411699713,"TNBC"
"CAL51","CPE",3.3409572,"TNBC"
"CAL51","CYP2T2P",1.803539678,"TNBC"
"CAL51","FAM176A",8.354421687,"TNBC"
"CAL51","GRHL2",2.768028644,"TNBC"
"CAL51","HS3ST1",6.628915748,"TNBC"
"CAL51","PLB1",3.836331575,"TNBC"
"CAL51","SULT2B1",2.933953474,"TNBC"
"CAL51","UnknownGene",2.580510401,"TNBC"
"CAMA1","BNIPL",7.806724655,"ER."
"CAMA1","CACNG4",11.67294649,"ER."
"CAMA1","CPE",11.95021599,"ER."
"CAMA1","CYP2T2P",8.397188855,"ER."
"CAMA1","FAM176A",2.448383829,"ER."
"CAMA1","GRHL2",11.42278563,"ER."
"CAMA1","HS3ST1",0,"ER."
"CAMA1","PLB1",0.919613646,"ER."
"CAMA1","SULT2B1",8.997179901,"ER."
"CAMA1","UnknownGene",0,"ER."
