"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","16/214","119/8545",0.134453781512605,5.36872693002435,7.69142115253783,3.7671062969303e-08,1.03972133795276e-05,8.7634788591747e-06,"5743/6372/3569/7412/1437/6364/3553/2920/2921/7133/8809/10000/3600/843/4323/330",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","24/214","298/8545",0.0805369127516778,3.21583139936022,6.2400171927681,3.76683913856471e-07,5.1982380112193e-05,4.38142868222527e-05,"4803/6372/3569/8995/133396/10148/10344/338376/1437/85480/650/8793/6364/943/970/3553/3575/2920/2921/7133/8809/3624/3600/7048",24
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","13/214","103/8545",0.12621359223301,5.03969694220125,6.61049016326446,1.55336286151048e-06,0.000142909383258965,0.000120453751717129,"284217/3569/1437/2769/3553/3908/2920/2921/1282/3910/1278/929/1284",13
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","18/214","198/8545",0.0909090909090909,3.62999150382328,6.00082101226452,2.11585577287424e-06,0.000145994048328322,0.00012305371731716,"2313/3569/3205/30012/1437/8900/8091/4208/5328/929/6935/2115/2119/5468/5327/330/3486/7048",18
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","11/214","95/8545",0.115789473684211,4.62346286276439,5.69175505596776,2.31988633295945e-05,0.00128057725579361,0.00107935764122955,"6372/3569/1437/7010/6364/4312/3553/3112/2920/2921/3600",11
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","11/214","101/8545",0.108910891089109,4.34880170260017,5.42581454766403,4.14057345700357e-05,0.00186228807928106,0.00156966310267396,"3569/7412/3553/4313/1282/10000/1278/5054/6776/1284/7048",11
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","16/214","203/8545",0.0788177339901478,3.14718475208324,4.96216589962063,4.72319440397369e-05,0.00186228807928106,0.00156966310267396,"284217/5156/6696/3690/5159/3908/1282/3910/10000/857/1278/858/3672/1284/330/1956",16
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","10/214","95/8545",0.105263157894737,4.20314805705853,5.03152228663029,0.000124033896033818,0.00427916941316673,0.00360677513466761,"5743/6372/3569/1437/6364/4312/3553/2920/2921/8061",10
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","10/214","100/8545",0.1,3.99299065420561,4.82496839645262,0.000190576403510768,0.00584434304099687,0.00492600996209118,"3569/1437/3690/3553/3575/3112/290/4311/929/3672",10
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","16/214","232/8545",0.0689655172413793,2.75378665807283,4.34041047913571,0.000227592809674026,0.00628156154700312,0.00529452746715366,"284217/70/3690/4811/3908/84665/2273/8572/22989/1282/2318/1278/3672/1284/7431/2200",16
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","13/214","168/8545",0.0773809523809524,3.08981419670672,4.38436798223037,0.000293505704713855,0.00736432495463854,0.00620715413796765,"3569/133396/5156/338376/1437/85480/3575/5159/2273/10000/6776/3600/1956",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","9/214","89/8545",0.101123595505618,4.03785571773601,4.61709274824003,0.000366751104415339,0.0084352754015528,0.00710982404173596,"284217/6696/3690/3908/1282/3910/1278/3672/1284",9
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","7/214","56/8545",0.125,4.99123831775701,4.80244440917781,0.000458015391568631,0.009724019082534,0.00819606490175444,"3569/3553/2920/2921/834/929/718",7
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","16/214","254/8545",0.062992125984252,2.5152697034366,3.92909274194112,0.000624867093049765,0.0123188084058382,0.0103831298920299,"4803/5156/5737/2769/2903/5137/2247/773/5159/146/815/5026/3269/2906/136/1956",16
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","8/214","78/8545",0.102564102564103,4.09537502995447,4.40133814383811,0.000706243857318207,0.0129001114233159,0.0108730916268223,"6372/3569/3553/834/929/716/2770/718",8
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","9/214","98/8545",0.0918367346938776,3.66703223345413,4.25577828825084,0.000747832546279183,0.0129001114233159,0.0108730916268223,"5156/5159/2950/10000/5328/6935/2119/5327/1956",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","9/214","100/8545",0.09,3.59369158878505,4.18126262053244,0.000865862546209497,0.0140575331031659,0.0118486453691826,"6372/3569/10344/8793/6364/2920/2921/7133/8809",9
