"ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","gene_biotype","chromosome_name","external_gene_id"
"ENSG00000134830",3.33802509939183,5.23689397701705,81.5996908567091,1.66640206892806e-19,4.44896024362412e-15,"protein_coding","19","GPR77"
"ENSG00000160180",2.16377439793239,5.82349337573023,69.8380033357482,6.4380467792578e-17,8.59414864563124e-13,"protein_coding","21","TFF3"
"ENSG00000082175",2.44743270603033,5.63395088757266,65.6711399347628,5.32803929532836e-16,4.74159977022255e-12,"protein_coding","11","PGR"
"ENSG00000160182",2.06396694632842,5.80337766295011,62.5918007123255,2.54310013646691e-15,1.69739218608484e-11,"protein_coding","21","TFF1"
"ENSG00000120262",2.57694309228254,5.36223964608654,60.919765566986,5.94489608336622e-15,3.17433671267423e-11,"protein_coding","6","C6orf97"
"ENSG00000144681",-3.46217911685759,5.84816757995384,57.3564913256829,3.63561423650249e-14,1.61772714810239e-10,"protein_coding","3","STAC"
"ENSG00000134954",-2.99144245114407,6.13349627532023,56.6147523846569,5.30126325781236e-14,2.02190180652963e-10,"protein_coding","11","ETS1"
"ENSG00000145808",2.97299014131286,5.11576218225051,51.1039901673111,8.76000434200678e-13,2.92343244903621e-09,"protein_coding","5","ADAMTS19"
"ENSG00000085662",-2.11202842757948,6.32381011656388,49.2378060339699,2.2673842700474e-12,6.72606947130283e-09,"protein_coding","7","AKR1B1"
"ENSG00000163565",-3.07376162967324,5.8995334758126,48.0810308495047,4.0896387112182e-12,1.09185174312104e-08,"protein_coding","1","IFI16"
"ENSG00000138685",-2.85927704379527,5.84465824228048,47.0402083952718,6.95452306559699e-12,1.68792597095735e-08,"protein_coding","4","FGF2"
"ENSG00000170955",-3.89792144593386,5.72637736618458,46.5558674360532,8.90432329167972e-12,1.98106352701054e-08,"protein_coding","11","PRKCDBP"
"ENSG00000196208",1.56227191409013,6.07899205999296,46.0869488909186,1.13119502676257e-11,2.32312652496208e-08,"protein_coding","2","GREB1"
"ENSG00000196636",-2.66198097545054,5.89108184016064,45.2494297677571,1.7347104026433e-11,3.30809273784077e-08,"protein_coding","7","ACN9"
"ENSG00000183876",-5.2647997010879,5.46262476626635,43.5183652553057,4.19999174354247e-11,7.47542530460646e-08,"protein_coding","5","ARSI"
"ENSG00000122870",-2.73115230687754,5.79825525959677,42.8352321480607,5.95499366396476e-11,9.93665130253321e-08,"protein_coding","10","BICC1"
"ENSG00000249421",3.68369224410349,4.62210627033359,42.4914743654842,7.0990990943143e-11,1.11489263305884e-07,"antisense","5",""
"ENSG00000090530",-2.43464309409513,6.10529754057037,41.9603222990892,9.31443836667384e-11,1.38153819729699e-07,"protein_coding","3","LEPREL1"
"ENSG00000084207",-1.90669250865524,6.29370285694458,41.6761860058588,1.07713008972985e-10,1.51353784924251e-07,"protein_coding","11","GSTP1"
"ENSG00000183853",-1.81327253796969,6.35895242956311,40.9635852397611,1.55092178770852e-10,2.0703254944121e-07,"protein_coding","1","KIRREL"
