"ensembl_gene_id","gene_biotype","chromosome_name","external_gene_id"
"ENSG00000118017","protein_coding","3","A4GNT"
"ENSG00000183044","protein_coding","16","ABAT"
"ENSG00000144452","protein_coding","2","ABCA12"
"ENSG00000005471","protein_coding","7","ABCB4"
"ENSG00000121270","protein_coding","16","ABCC11"
"ENSG00000140798","protein_coding","16","ABCC12"
"ENSG00000125257","protein_coding","13","ABCC4"
"ENSG00000160179","protein_coding","21","ABCG1"
"ENSG00000167769","protein_coding","19","ACER1"
"ENSG00000196636","protein_coding","7","ACN9"
"ENSG00000205669","protein_coding","14","ACOT6"
"ENSG00000068366","protein_coding","X","ACSL4"
"ENSG00000197142","protein_coding","10","ACSL5"
"ENSG00000169067","protein_coding","5","ACTBL2"
"ENSG00000159251","protein_coding","15","ACTC1"
"ENSG00000148848","protein_coding","10","ADAM12"
"ENSG00000138316","protein_coding","10","ADAMTS14"
"ENSG00000145536","protein_coding","5","ADAMTS16"
"ENSG00000049192","protein_coding","5","ADAMTS6"
"ENSG00000170425","protein_coding","17","ADORA2B"
"ENSG00000171873","protein_coding","20","ADRA1D"
"ENSG00000184160","protein_coding","4","ADRA2C"
"ENSG00000157510","protein_coding","5","AFAP1L1"
"ENSG00000144218","protein_coding","2","AFF3"
"ENSG00000026652","protein_coding","6","AGPAT4"
"ENSG00000018510","protein_coding","2","AGPS"
"ENSG00000106541","protein_coding","7","AGR2"
"ENSG00000113492","protein_coding","5","AGXT2"
"ENSG00000154027","protein_coding","1","AK5"
"ENSG00000085662","protein_coding","7","AKR1B1"
"ENSG00000198074","protein_coding","7","AKR1B10"
"ENSG00000187134","protein_coding","10","AKR1C1"
"ENSG00000196139","protein_coding","10","AKR1C3"
"ENSG00000229020","pseudogene","1","AKR7A2P1"
"ENSG00000117020","protein_coding","1","AKT3"
"ENSG00000132746","protein_coding","11","ALDH3B2"
"ENSG00000198796","protein_coding","18","ALPK2"
"ENSG00000233273","pseudogene","13","AMMECR1LP1"
"ENSG00000174945","protein_coding","7","AMZ1"
"ENSG00000175302","pseudogene","21","ANKRD30BP1"
"ENSG00000164236","protein_coding","5","ANKRD33B"
"ENSG00000198944","protein_coding","5","ANKRD43"
"ENSG00000106013","protein_coding","7","ANKRD7"
"ENSG00000165138","protein_coding","9","ANKS6"
"ENSG00000166825","protein_coding","15","ANPEP"
"ENSG00000169604","protein_coding","2","ANTXR1"
"ENSG00000034053","protein_coding","15","APBA2"
"ENSG00000244509","protein_coding","22","APOBEC3C"
"ENSG00000221963","protein_coding","22","APOL6"
"ENSG00000169083","protein_coding","X","AR"
"ENSG00000120318","protein_coding","5","ARAP3"
"ENSG00000128805","protein_coding","10","ARHGAP22"
"ENSG00000225485","protein_coding","17","ARHGAP23"
"ENSG00000088756","protein_coding","18","ARHGAP28"
"ENSG00000236699","protein_coding","4","ARHGEF38"
"ENSG00000004848","protein_coding","X","ARX"
"ENSG00000100628","protein_coding","14","ASB2"
"ENSG00000139352","protein_coding","12","ASCL1"
"ENSG00000064270","protein_coding","16","ATP2C2"
"ENSG00000167601","protein_coding","19","AXL"
"ENSG00000176597","protein_coding","3","B3GNT5"
"ENSG00000256715","protein_coding","21","BAGE4"
"ENSG00000123685","protein_coding","1","BATF3"
"ENSG00000064787","protein_coding","20","BCAS1"
"ENSG00000060982","protein_coding","12","BCAT1"
"ENSG00000170819","protein_coding","3","BFSP2"
"ENSG00000122870","protein_coding","10","BICC1"
